Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
153,Friday Sep 24,boxscore,BOS,,NYY,L,4,6,,91-62,2,5.5,Gordon,Martinez,Rivera,3:18,N,35022,--,
154,Saturday Sep 25,boxscore,BOS,,NYY,W,12,5,,92-62,2,4.5,Foulke,Quantrill,,3:23,N,34856,+,
155,Sunday Sep 26,boxscore,BOS,,NYY,W,11,4,,93-62,2,3.5,Schilling,Brown,,3:15,D,34582,++,
156,Monday Sep 27,boxscore,BOS,@,TBD,W,7,3,,94-62,2,3.0,Arroyo,Sosa,,3:01,N,17602,+++,
157,Tuesday Sep 28,boxscore,BOS,@,TBD,W,10,8,11,95-62,2,2.5,Mendoza,Baez,Foulke,3:22,N,20116,++++,
158,Wednesday Sep 29,boxscore,BOS,@,TBD,L,4,9,,95-63,2,4.0,Waechter,Martinez,Miller,2:54,N,21274,-,
159,Friday Oct 1,boxscore,BOS,@,BAL,W,8,3,,96-63,2,3.5,Wakefield,Lopez,,3:15,N,39086,+,
160,Saturday Oct 2 (1),boxscore,BOS,@,BAL,W,7,5,,97-63,2,2.0,Adams,Cabrera,Foulke,3:21,D,48540,++,
161,Saturday Oct 2 (2),boxscore,BOS,@,BAL,W,7,5,,98-63,2,2.0,Kim,Grimsley,Leskanic,3:11,N,47320,+++,
162,Sunday Oct 3,boxscore,BOS,@,BAL,L,2,3,,98-64,2,3.0,Chen,Williamson,Ryan,2:21,D,42104,-,
