player_id,wc,number,player,captain,position,DOB,age,exp,club,country,league_division,nat_championship,nat_top5,cont_championship,goals_scored,games_played
Danilo-18,2018,4,Danilo,,DF,15-Jul-91,26,16,Manchester City,England,1,1,1,0,0,1
Fagner-18,2018,5,Fagner,,DF,11-Jun-89,28,4,Corinthians,Brazil,1,1,1,0,0,1
Filipe Luis-18,2018,6,Filipe Luis,,DF,9-Aug-85,32,31,Atlético de Madrid,Spain,1,0,1,0,0,1
Marcelo-18,2018,7,Marcelo,,DF,12-May-88,30,53,Real Madrid,Spain,1,0,1,1,1,5
Miranda-18,2018,8,Miranda,,DF,7-Sep-84,33,45,Internazionale,Italy,1,0,1,0,1,6
Thiago Silva-18,2018,9,Thiago Silva,,DF,22-Sep-84,33,69,Paris Saint-Germain,France,1,1,1,0,0,6
Marquinhos-18,2018,10,Marquinhos,,DF,14-May-94,24,24,Paris Saint-Germain,France,1,1,1,0,0,5
Pedro Geromel-18,2018,11,Pedro Geromel,,DF,21-Sep-85,32,2,Grêmio,Brazil,1,0,1,1,0,1
Casemiro-18,2018,12,Casemiro,,MF,23-Feb-92,26,22,Real Madrid,Spain,1,0,1,1,0,7
Philippe Coutinho-18,2018,13,Philippe Coutinho,,MF,12-Jun-92,25,34,Barcelona,Spain,1,1,1,0,2,7
Fernandinho-18,2018,14,Fernandinho,,MF,4-May-85,33,42,Manchester City,England,1,1,1,0,0,6
Fred-18,2018,15,Fred,,MF,5-Mar-93,25,7,Shaktar Donetsk,Ukraine,1,1,1,0,0,1
Paulinho-18,2018,16,Paulinho,,MF,25-Jul-88,29,48,Barcelona,Spain,1,1,1,0,3,7
Renato Augusto-18,2018,17,Renato Augusto,,MF,8-Feb-88,30,28,Beijing Guoan,China,1,0,0,0,0,7
Willian-18,2018,18,Willian,,MF,9-Aug-88,29,55,Chelsea,England,1,0,1,0,1,8
Douglas Costa-18,2018,19,Douglas Costa,,FW,14-Sep-90,27,24,Juventus,Italy,1,1,1,0,0,3
Roberto Firmino-18,2018,20,Roberto Firmino,,FW,2-Oct-91,26,19,Liverpool,England,1,0,1,0,0,4
Gabriel Jesus-18,2018,21,Gabriel Jesus,,FW,3-Apr-97,21,15,Manchester City,England,1,1,1,0,4,8
Neymar-18,2018,22,Neymar,,FW,5-Feb-92,26,83,Paris Saint-Germain,France,1,1,1,0,1,6
Taison-18,2018,23,Taison,,FW,13-Jan-88,30,6,Shaktar Donetsk,Ukraine,1,1,1,0,0,2
