"ogc_fid","gm_","date","field_3","tm","field_5","opp","w/l","r","ra","inn","w_l","rank","gb","win","loss","save","time","d/n","attendance","streak","orig. scheduled","gm_loc"
161,"161","Saturday Sep 28","boxscore","BOS","@","BAL","L","5","6","","97-64","1","up 7.0","Gausman","Tazawa","Johnson","3:21","N","36556","-","","BAL"
162,"162","Sunday Sep 29","boxscore","BOS","@","BAL","L","6","7","","97-65","1","up 6.0","McFarland","De La Rosa","Johnson","3:23","D","44230","--","","BAL"
49,"49","Friday May 24","boxscore","BOS","","CLE","W","8","1","","29-20","2","1.0","Lackey","Masterson","","2:55","N","34074","+","","BOS"
50,"50","Saturday May 25","boxscore","BOS","","CLE","W","7","4","","30-20","2","1.0","Tazawa","Pestano","Bailey","3:24","D","36504","++","","BOS"
51,"51","Sunday May 26","boxscore","BOS","","CLE","W-wo","6","5","","31-20","1","Tied","Breslow","Perez","","3:19","D","37046","+++","","BOS"
52,"52","Monday May 27","boxscore","BOS","","PHI","W","9","3","","32-20","1","up 1.0","Aceves","Cloyd","","3:26","N","33627","++++","","BOS"
53,"53","Tuesday May 28","boxscore","BOS","","PHI","L","1","3","","32-21","1","up 1.0","Lee","Dempster","Papelbon","2:30","N","33463","-","","BOS"
59,"59","Tuesday Jun 4","boxscore","BOS","","TEX","W","17","5","","36-23","1","up 2.5","Dempster","Grimm","","3:10","N","32035","+++","","BOS"
60,"60","Wednesday Jun 5","boxscore","BOS","","TEX","L","2","3","","36-24","1","up 1.5","Cotts","Breslow","Nathan","3:17","N","33296","-","","BOS"
61,"61","Thursday Jun 6","boxscore","BOS","","TEX","W-wo","6","3","","37-24","1","up 1.5","Bailey","Kirkman","","3:21","N","35352","+","","BOS"
62,"62","Saturday Jun 8 (1)","boxscore","BOS","","LAA","L","5","9","","37-25","1","up 1.5","Hanson","Doubront","Frieri","4:00","D","34499","-","","BOS"
63,"63","Saturday Jun 8 (2)","boxscore","BOS","","LAA","W","7","2","","38-25","1","up 1.5","Buchholz","Wilson","","3:25","N","36518","+","","BOS"
64,"64","Sunday Jun 9","boxscore","BOS","","LAA","W","10","5","","39-25","1","up 1.5","Dempster","Blanton","","3:33","D","37054","++","","BOS"
72,"72","Tuesday Jun 18 (1)","boxscore","BOS","","TBR","W","5","1","","43-29","1","up 2.5","Aceves","Archer","","3:10","D","33430","+","","BOS"
73,"73","Tuesday Jun 18 (2)","boxscore","BOS","","TBR","W-wo","3","1","","44-29","1","up 2.5","Bailey","Peralta","","2:27","N","32156","++","","BOS"
74,"74","Wednesday Jun 19","boxscore","BOS","","TBR","L","2","6","","44-30","1","up 1.5","Hellickson","Dempster","","3:21","N","35710","-","","BOS"
79,"79","Tuesday Jun 25","boxscore","BOS","","COL","W","11","4","","46-33","1","up 2.5","Dempster","Nicasio","","3:40","N","36286","+","","BOS"
80,"80","Wednesday Jun 26","boxscore","BOS","","COL","W","5","3","","47-33","1","up 3.5","Lackey","Oswalt","Uehara","2:36","D","34632","++","","BOS"
